0, 0, 1, 2.08e-07,
1, 0, 2, 1.85e-07,
2, 0, 3, 3.09e-07,
3, 0, 5, 6.74e-07,
4, 0, 13, 2.024e-06,
5, 0, 65533, 11.4208,
0, 1, 2, 5.5e-08,
1, 1, 3, 1e-07,
2, 1, 5, 1.83e-07,
3, 1, 13, 5.79e-07,
4, 1, 65533, 11.3859,
0, 2, 3, 5.8e-08,
1, 2, 4, 1.13e-07,
2, 2, 7, 2.43e-07,
3, 2, 29, 2.254e-06,
0, 3, 4, 4.6e-08,
1, 3, 5, 8.6e-08,
2, 3, 9, 2e-07,
3, 3, 61, 8.83e-06,
0, 4, 5, 4e-08,
1, 4, 6, 9e-08,
2, 4, 11, 2.95e-07,
3, 4, 125, 3.5402e-05,
